Date,NAV
2022-08-17 18:30:00,26.02
2022-08-18 18:30:00,25.75
2022-08-21 18:30:00,25.48
2022-08-22 18:30:00,25.71
2022-08-23 18:30:00,25.9
2022-08-24 18:30:00,26.05
2022-08-25 18:30:00,26.22
2022-08-28 18:30:00,26.01
2022-08-29 18:30:00,26.33
2022-08-31 18:30:00,26.43
2022-09-01 18:30:00,26.45
2022-09-04 18:30:00,26.64
2022-09-05 18:30:00,26.72
2022-09-06 18:30:00,27.0
2022-09-07 18:30:00,27.22
2022-09-08 18:30:00,27.24
2022-09-11 18:30:00,27.49
2022-09-12 18:30:00,27.51
2022-09-13 18:30:00,27.5
2022-09-14 18:30:00,27.55
2022-09-15 18:30:00,26.9
2022-09-18 18:30:00,26.76
2022-09-19 18:30:00,26.99
2022-09-20 18:30:00,26.88
2022-09-21 18:30:00,26.92
2022-09-22 18:30:00,26.45
2022-09-25 18:30:00,25.71
2022-09-26 18:30:00,25.71
2022-09-27 18:30:00,25.57
2022-09-28 18:30:00,25.71
2022-09-29 18:30:00,26.04
2022-10-02 18:30:00,25.88
2022-10-03 18:30:00,26.17
2022-10-05 18:30:00,26.4
2022-10-06 18:30:00,26.45
2022-10-09 18:30:00,26.34
2022-10-10 18:30:00,26.07
2022-10-11 18:30:00,26.11
2022-10-12 18:30:00,25.99
2022-10-13 18:30:00,25.93
2022-10-16 18:30:00,25.97
2022-10-17 18:30:00,26.21
2022-10-18 18:30:00,26.23
2022-10-19 18:30:00,26.2
2022-10-20 18:30:00,26.1
2022-10-24 18:30:00,26.33
2022-10-26 18:30:00,26.34
2022-10-27 18:30:00,26.17
2022-10-30 18:30:00,26.42
2022-10-31 18:30:00,26.48
2022-11-01 18:30:00,26.47
2022-11-02 18:30:00,26.52
2022-11-03 18:30:00,26.48
2022-11-06 18:30:00,26.64
2022-11-08 18:30:00,26.45
2022-11-09 18:30:00,26.15
2022-11-10 18:30:00,26.22
2022-11-13 18:30:00,26.22
2022-11-14 18:30:00,26.23
2022-11-15 18:30:00,26.19
2022-11-16 18:30:00,26.29
2022-11-17 18:30:00,26.15
2022-11-20 18:30:00,26.16
2022-11-21 18:30:00,26.22
2022-11-22 18:30:00,26.38
2022-11-23 18:30:00,26.55
2022-11-24 18:30:00,26.68
2022-11-27 18:30:00,26.85
2022-11-28 18:30:00,26.82
2022-11-29 18:30:00,26.84
2022-11-30 18:30:00,26.99
2022-12-01 18:30:00,27.1
2022-12-04 18:30:00,27.06
2022-12-05 18:30:00,27.04
2022-12-06 18:30:00,26.93
2022-12-07 18:30:00,26.99
2022-12-08 18:30:00,26.82
2022-12-11 18:30:00,26.84
2022-12-12 18:30:00,27.01
2022-12-13 18:30:00,27.25
2022-12-14 18:30:00,27.04
2022-12-15 18:30:00,26.81
2022-12-18 18:30:00,26.9
2022-12-19 18:30:00,26.91
2022-12-20 18:30:00,26.42
2022-12-21 18:30:00,26.13
2022-12-22 18:30:00,25.38
2022-12-25 18:30:00,26.0
2022-12-26 18:30:00,26.24
2022-12-27 18:30:00,26.22
2022-12-28 18:30:00,26.24
2022-12-29 18:30:00,26.4
2023-01-01 18:30:00,26.67
2023-01-02 18:30:00,26.66
2023-01-03 18:30:00,26.5
2023-01-04 18:30:00,26.43
2023-01-05 18:30:00,26.26
2023-01-08 18:30:00,26.37
2023-01-09 18:30:00,26.23
2023-01-10 18:30:00,26.24
2023-01-11 18:30:00,26.32
2023-01-12 18:30:00,26.4
2023-01-15 18:30:00,26.34
2023-01-16 18:30:00,26.25
2023-01-17 18:30:00,26.25
2023-01-18 18:30:00,26.22
2023-01-19 18:30:00,26.05
2023-01-22 18:30:00,26.03
2023-01-23 18:30:00,25.98
2023-01-24 18:30:00,25.81
2023-01-26 18:30:00,25.48
2023-01-29 18:30:00,25.39
2023-01-30 18:30:00,25.81
2023-01-31 18:30:00,25.63
2023-02-01 18:30:00,25.75
2023-02-02 18:30:00,25.75
2023-02-05 18:30:00,25.68
2023-02-06 18:30:00,25.62
2023-02-07 18:30:00,25.75
2023-02-08 18:30:00,25.82
2023-02-09 18:30:00,25.96
2023-02-12 18:30:00,25.62
2023-02-13 18:30:00,25.48
2023-02-14 18:30:00,25.61
2023-02-15 18:30:00,25.84
2023-02-16 18:30:00,25.77
2023-02-19 18:30:00,25.86
2023-02-20 18:30:00,25.78
2023-02-21 18:30:00,25.5
2023-02-22 18:30:00,25.54
2023-02-23 18:30:00,25.4
2023-02-26 18:30:00,25.25
2023-02-27 18:30:00,25.2
2023-02-28 18:30:00,25.49
2023-03-01 18:30:00,25.47
2023-03-02 18:30:00,25.58
2023-03-05 18:30:00,25.72
2023-03-07 18:30:00,25.75
2023-03-08 18:30:00,25.69
2023-03-09 18:30:00,25.55
2023-03-12 18:30:00,25.16
2023-03-13 18:30:00,24.98
2023-03-14 18:30:00,25.04
2023-03-15 18:30:00,24.96
2023-03-16 18:30:00,25.13
2023-03-19 18:30:00,24.93
2023-03-20 18:30:00,25.07
2023-03-21 18:30:00,25.16
